T(K);a;da/dT
303.9;0;0
304.15;0.0000910565921;0.0003642263684
317.65;0.0002708641525;0.00001331907855
365.9;0.0005363484533;0.000005502265301
420.65;0.0008870886429;0.000006406213509
433.65;0.001327322709;0.0000338641589
446.15;0.001869514425;0.00004337533729
477.65;0.002535211672;0.00002113324595
486.15;0.00335389721;0.00009631594559
495.65;0.004361352865;0.0001060479637
504.65;0.005594981192;0.0001370698141
512.4;0.007089773283;0.0001928763988
520.65;0.008873782759;0.0002162435729
528.9;0.01096447486;0.0002534172237
536.4;0.01336623962;0.0003202353015
543.9;0.01606921261;0.0003603963985
557.15;0.0190493198;0.0002249137502
564.15;0.02226962863;0.0004600441191
570.9;0.02568254006;0.000505616508
576.65;0.02923119788;0.0006171578816
583.4;0.03285475903;0.0005368238749
589.65;0.03649097989;0.0005817953372
595.4;0.04008193899;0.0006245146255
601.4;0.04357865393;0.0005827858245
607.4;0.04694742314;0.0005614615334
612.65;0.05017518784;0.0006148123241
629.65;0.05327449025;0.0001823119068
636.4;0.05629016482;0.0004467666023
642.4;0.0593022135;0.0005020081146
647.65;0.06242932064;0.0005956394539
653.65;0.06583071196;0.0005668985538
659.65;0.06970274268;0.0006453384533
664.4;0.07427632976;0.0009628604372
681.15;0.07980705851;0.0003301927612
686.9;0.08656316734;0.00117497545
692.4;0.09481277292;0.001499928287
697.65;0.1048088819;0.001904020764
703.15;0.1167742308;0.002175517972
709.15;0.1308900739;0.002352640524
713.9;0.1472854158;0.003451650923
719.65;0.1660279362;0.00325956876
724.9;0.1871181644;0.004017186334
729.9;0.2104846131;0.004673289742
735.4;0.235978854;0.004635316518
740.9;0.2633743664;0.004981002255
745.65;0.2923681002;0.006103943951
750.9;0.3225872787;0.005756034
756.4;0.3536013127;0.005638915277
761.4;0.3849403902;0.006267815506
766.4;0.4161184751;0.006235616975
771.9;0.4466596829;0.005552946872
776.9;0.4761250011;0.00589306364
782.9;0.5041360208;0.004668503291
788.65;0.5303926771;0.004566375008
793.4;0.5546861717;0.005114419909
798.9;0.5769022399;0.004039285124
803.9;0.5970185471;0.004023261438
808.15;0.615094214;0.004253098093
813.15;0.6312554642;0.00323225004
817.9;0.6456780797;0.003036340121
822.15;0.6585689551;0.003033147148
826.9;0.6701462169;0.002437318273
831.65;0.680624298;0.002205911797
835.4;0.6902012056;0.002553842043
840.15;0.6990500014;0.001862904378
845.15;0.7073144277;0.001652885265
849.15;0.7151093747;0.00194873675
863.4;0.7225246518;0.000520370318
867.9;0.7296292679;0.001578803575
872.65;0.736478174;0.00144187498
876.15;0.7431162538;0.001896594215
880.65;0.7495832627;0.001437113087
884.9;0.7559167828;0.001490240044
888.9;0.7621520904;0.001558826897
893.4;0.7683243933;0.001371622858
897.9;0.7744688782;0.001365441096
901.65;0.7806195172;0.001640170392
905.9;0.7868102991;0.001456654568
914.4;0.7930755831;0.0007370922353
918.65;0.7994503147;0.001499936854
922.65;0.8059704588;0.001630036005
933.9;0.8126735861;0.0005958335394
937.65;0.819595896;0.001845949305
941.65;0.8267689706;0.001793268668
945.4;0.8342140406;0.001985351993
948.65;0.841935457;0.002375820422
955.9;0.8499129283;0.001100340874
959.15;0.8580984035;0.002518607742
962.9;0.8664162477;0.002218091778
966.4;0.8747685764;0.002386379639
979.65;0.8830473791;0.0006248152963
983.15;0.8911485875;0.002314630979
992.9;0.8989875448;0.0008039956219
1005.65;0.9065116853;0.0005901286622
1008.65;0.9137071351;0.002398483297
1011.65;0.9205967654;0.002296543422
1014.9;0.9272327484;0.002041840917
1017.65;0.9336824976;0.002345363366
1020.65;0.9400146368;0.002110713063
1023.9;0.9462846659;0.0019292397
1026.65;0.9525272572;0.002270033198
1029.65;0.9587531677;0.00207530353
1032.65;0.9649521845;0.002066338927
1038.65;0.9710995442;0.001024559941
1055.4;0.9771631193;0.0003620044844
1058.15;0.9831107359;0.002162769662
1065.65;0.9889138919;0.0007737541375
1068.65;0.9945498943;0.001878667466
1074.15;1;0.0009909283115
